time	V(buf)
7.234063651044527e-03	-2.562560e+00
7.234368826825777e-03	-2.563574e+00
7.234979178388277e-03	-2.565601e+00
7.236199881513277e-03	-2.569655e+00
7.236505057294527e-03	-2.570669e+00
7.236581351239839e-03	-2.570922e+00
7.236733939130464e-03	-2.571428e+00
7.237039114911714e-03	-2.572439e+00
7.237115408857026e-03	-2.572690e+00
7.237267996747651e-03	-2.573188e+00
7.237306143720307e-03	-2.573308e+00
7.237382437665620e-03	-2.573534e+00
7.237401511151948e-03	-2.573578e+00
7.237439658124604e-03	-2.573636e+00
7.237449194867769e-03	-2.573632e+00
7.237468268354097e-03	-2.573473e+00
7.237501535911144e-03	-2.572279e+00
7.237524250577862e-03	-2.569837e+00
7.237543284586283e-03	-2.566145e+00
7.237563566230205e-03	-2.562090e+00
7.237588059145029e-03	-2.559639e+00
7.237609042528400e-03	-2.560281e+00
7.237629815685427e-03	-2.562601e+00
7.237659841517042e-03	-2.566654e+00
7.237686554590297e-03	-2.569811e+00
7.237699996650505e-03	-2.570353e+00
7.237711869075733e-03	-2.570130e+00
7.237719234682160e-03	-2.570266e+00
7.237727247090666e-03	-2.570790e+00
7.237735737186147e-03	-2.571459e+00
7.237747083387966e-03	-2.572387e+00
7.237765509670008e-03	-2.573678e+00
7.237802058757702e-03	-2.575431e+00
7.237844739226782e-03	-2.576438e+00
7.237886919993366e-03	-2.576581e+00
7.237946055315217e-03	-2.576081e+00
7.238016567646262e-03	-2.575172e+00
7.238093997652969e-03	-2.574219e+00
7.238195633917139e-03	-2.573303e+00
7.238317611754862e-03	-2.572628e+00
7.238512975784051e-03	-2.571976e+00
7.238692409534648e-03	-2.571475e+00
7.238972014158265e-03	-2.570608e+00
7.239280398539826e-03	-2.569587e+00
7.239826729202578e-03	-2.567806e+00
7.240471775739938e-03	-2.565710e+00
7.241591422596085e-03	-2.562058e+00
7.243809642757754e-03	-2.554823e+00
7.247942280127257e-03	-2.541335e+00
7.253776863788132e-03	-2.522285e+00
7.263564851295486e-03	-2.490320e+00
7.399674667430250e-03	-2.045798e+00
7.535784483565015e-03	-1.601584e+00
7.671894299699778e-03	-1.157678e+00
7.808004115834542e-03	-7.140796e-01
7.944113931969306e-03	-2.707891e-01
8.080223748104069e-03	1.721935e-01
8.216333564238834e-03	6.148683e-01
8.286088028524546e-03	8.415979e-01
8.355842492810260e-03	1.068240e+00
8.425596957095972e-03	1.294795e+00
8.495351421381685e-03	1.521262e+00
8.565105885667397e-03	1.747641e+00
8.634860349953111e-03	1.973933e+00
8.704614814238823e-03	2.200137e+00
8.743677314238823e-03	2.326772e+00
8.763208564238822e-03	2.390079e+00
8.782739814238822e-03	2.453379e+00
8.785181220488821e-03	2.461291e+00
8.790064032988822e-03	2.477114e+00
8.791284736113823e-03	2.481069e+00
8.793726142363822e-03	2.488977e+00
8.794115209818720e-03	2.490236e+00
8.794212476682444e-03	2.490550e+00
8.794407010409892e-03	2.491177e+00
8.794455643841754e-03	2.491333e+00
8.794552910705479e-03	2.491642e+00
8.794747444432927e-03	2.492250e+00
8.794796077864788e-03	2.492391e+00
8.794893344728513e-03	2.492639e+00
8.794917661444444e-03	2.492678e+00
8.794966294876305e-03	2.492691e+00
8.794978453234271e-03	2.492663e+00
8.795002769950202e-03	2.492475e+00
8.795034200553281e-03	2.492322e+00
8.795071075741741e-03	2.492763e+00
8.795111882517729e-03	2.493430e+00
8.795138493114538e-03	2.493412e+00
8.795162049854373e-03	2.493279e+00
8.795185181818189e-03	2.493309e+00
8.795226880505167e-03	2.493406e+00
8.795258448437381e-03	2.493541e+00
8.795275384393664e-03	2.493615e+00
8.795292099077427e-03	2.493623e+00
8.795305582446991e-03	2.493618e+00
8.795320301063232e-03	2.493630e+00
8.795337472001716e-03	2.493643e+00
8.795361258527644e-03	2.493663e+00
8.795387076886351e-03	2.493682e+00
8.795419739239266e-03	2.493690e+00
8.795445139544021e-03	2.493667e+00
8.795463816309204e-03	2.493627e+00
8.795486789107659e-03	2.493561e+00
8.795503989150069e-03	2.493506e+00
8.795523384208437e-03	2.493439e+00
8.795550222483248e-03	2.493340e+00
8.795584117334681e-03	2.493210e+00
8.795650921866578e-03	2.492955e+00
8.795736888232791e-03	2.492638e+00
8.795841557759951e-03	2.492271e+00
8.795942270657737e-03	2.491932e+00
8.796100835072360e-03	2.491408e+00
8.796276257039179e-03	2.490828e+00
8.796523078495445e-03	2.490010e+00
8.796783570732989e-03	2.489146e+00
8.797154585273793e-03	2.487915e+00
8.797626651142932e-03	2.486348e+00
8.798412127527924e-03	2.483740e+00
8.798905383737232e-03	2.482105e+00
8.799374165573186e-03	2.480547e+00
8.799746089573082e-03	2.479310e+00
8.800160171726074e-03	2.477934e+00
8.800555591590908e-03	2.476620e+00
8.800968071805844e-03	2.475248e+00
8.801674882251330e-03	2.472899e+00
8.802902066669166e-03	2.468818e+00
8.805356435504837e-03	2.460656e+00
8.836367220508550e-03	2.357487e+00
9.017728827651403e-03	1.754021e+00
9.199090434794256e-03	1.150672e+00
9.380452041937111e-03	5.474415e-01
9.561813649079964e-03	-5.567091e-02
9.743175256222817e-03	-6.586652e-01
9.924536863365670e-03	-1.261541e+00
1.010589847050852e-02	-1.864299e+00
1.012821989907995e-02	-1.938472e+00
1.015054132765138e-02	-2.012643e+00
1.017286275622281e-02	-2.086811e+00
1.019518418479423e-02	-2.160977e+00
1.021750561336566e-02	-2.235141e+00
1.023982704193709e-02	-2.309302e+00
1.026214847050852e-02	-2.383461e+00
1.028167972050852e-02	-2.448349e+00
1.030121097050852e-02	-2.513235e+00
1.030365237675852e-02	-2.521345e+00
1.030853518925852e-02	-2.537566e+00
1.030975589238352e-02	-2.541621e+00
1.031219729863352e-02	-2.549731e+00
1.031708011113352e-02	-2.565952e+00
1.031778994285349e-02	-2.568309e+00
1.031796740078348e-02	-2.568898e+00
1.031832231664347e-02	-2.570077e+00
1.031841104560846e-02	-2.570372e+00
1.031858850353846e-02	-2.570960e+00
1.031894341939844e-02	-2.572137e+00
1.031903214836344e-02	-2.572429e+00
1.031920960629343e-02	-2.573008e+00
1.031925397077593e-02	-2.573143e+00
1.031934269974093e-02	-2.573375e+00
1.031936488198217e-02	-2.573358e+00
1.031940924646467e-02	-2.573061e+00
1.031941593998815e-02	-2.572879e+00
1.031942932703511e-02	-2.571961e+00
1.031944665002092e-02	-2.569730e+00
1.031946340466588e-02	-2.566407e+00
1.031948280863628e-02	-2.562329e+00
1.031950617880636e-02	-2.559443e+00
1.031952624484699e-02	-2.559614e+00
1.031954590744297e-02	-2.561598e+00
1.031957744853207e-02	-2.565745e+00
1.031961054678903e-02	-2.569573e+00
